"Schub_x","Schub_y"
5.2047,88.1091,
5.2163,-20.9204,
5.2279,14.7031,
5.2395,106.2447,
5.2511,-5.8074,
5.2627,187.2072,
5.2744,-50.4987,
5.286,78.3936,
5.2976,20.3165,
5.3092,-40.9991,
5.3208,120.0623,
5.3324,-86.7699,
5.344,116.6079,
5.3556,-50.7146,
5.3672,39.9634,
5.3789,121.5736,
5.3905,-13.3639,
5.4021,109.0514,
5.4137,-131.0294,
5.4253,14.0554,
5.4369,5.6353,
5.4485,-70.3615,
5.4601,76.4505,
5.4717,-124.7683,
5.4834,84.6547,
5.4949,-105.1214,
5.5066,-103.3942,
5.5182,43.4178,
5.5298,-107.2804,
5.5414,113.1535,
5.5531,-100.1557,
5.5646,25.9299,
5.5762,-31.7154,
5.5878,-137.7223,
5.5995,54.6446,
5.6111,-112.2461,
5.6227,82.4957,
5.6343,-52.8736,
5.6459,-13.3639,
5.6575,68.2463,
5.6691,-104.2578,
5.6807,173.8214,
5.6923,-51.7941,
5.7039,80.1208,
5.7156,40.6111,
5.7271,-75.3272,
5.7388,177.0599,
5.7504,-81.5883,
5.762,115.5284,
5.7736,-43.374,
5.7852,-3.8643,
5.7968,74.7233,
5.8084,-116.1323,
5.82,128.2665,
5.8316,-60.646,
5.8433,52.2697,
5.8549,43.4178,
5.8665,-68.2025,
5.8781,107.5401,
5.8897,-109.8712,
5.9013,57.0195,
5.9129,-112.8938,
5.9245,-62.5891,
5.9361,83.3593,
5.9478,-132.5407,
5.9594,90.6999,
5.9709,-105.985,
5.9826,9.5215,
5.9942,36.2931,
6.0058,-93.2469,
6.0174,103.2221,
6.0291,-128.8704,
6.0406,77.3141,
6.0522,-18.3296,
6.0638,-12.7162,
6.0754,124.1644,
6.0871,-97.1331,
6.0987,151.5837,
6.1103,-68.2025,
6.1219,36.9408,
6.1335,12.5441,
6.1451,-137.0746,
6.1567,89.8363,
6.1684,-110.0871,
6.18,88.325,
6.1916,-51.7941,
6.2032,-46.1807,
6.2148,77.3141,
6.2264,-122.6093,
6.238,136.6866,
6.2496,-83.9632,
6.2612,10.8169,
6.2729,29.1684,
6.2844,-60.4301,
6.2961,168.4239,
6.3077,-104.9055,
6.3193,70.8371,
6.3309,-52.2259,
6.3425,-48.3397,
6.3541,95.0179,
6.3657,-115.2687,
6.3773,148.5611,
6.3889,-70.7933,
6.4006,32.191,
6.4122,58.7467,
6.4238,-56.328,
6.4354,147.9134,
6.447,-105.5532,
6.4586,85.9501,
6.4702,-14.6593,
6.4818,-13.3639,
6.4934,61.3375,
6.5051,-126.0637,
6.5166,122.869,
6.5283,-112.0302,
6.5398,25.4981,
6.5515,86.8137,
6.5631,-55.0326,
6.5747,136.6866,
6.5863,-75.3272,
6.5979,105.597,
6.6095,-3.6484,
6.6211,-31.4995,
